symbol,weight,cap_bucket,roce,ey,combined_rank
ADANIENT,0.010416666666666666,large,0.04188816669954731,0.016323369249059447,55
APARINDS,0.010416666666666666,mid,0.2773665144117184,0.02441130866205459,28
ARIS,0.010416666666666666,small,0.11990111248454882,0.08792445051210236,117
ARVINDFASN,0.010416666666666666,small,0.18859649122807018,0.05965617024697969,90
AUTOAXLES,0.010416666666666666,small,0.18059299191374664,0.08401037206478866,61
AWL,0.010416666666666666,small,0.14562770562770563,0.06908150424556368,119
BAJAJ-AUTO,0.010416666666666666,large,0.20232350312779268,0.03863007445847826,23
BHARTIARTL,0.010416666666666666,large,0.1852213116419765,0.047858535837216186,22
BLS,0.010416666666666666,small,0.2505183137525916,0.07307452912304446,45
BLUESTARCO,0.010416666666666666,mid,0.17774634606317774,0.02423680712265497,41
BORORENEW,0.010416666666666666,small,0.20621637776449492,0.05042486940801371,95
BOSCHLTD,0.010416666666666666,large,0.1508954824913125,0.01688173556039337,42
BSOFT,0.010416666666666666,small,0.1847672778561354,0.13393241819533006,43
CEATLTD,0.010416666666666666,small,0.16434238999759557,0.08262536837571671,79
CERA,0.010416666666666666,small,0.1836734693877551,0.03851699552457375,139
CIPLA,0.010416666666666666,large,0.13331050619186213,0.044458293948844756,33
COROMANDEL,0.010416666666666666,mid,0.1918373151308305,0.04682232540771274,19
DABUR,0.010416666666666666,mid,0.15589832375855828,0.033603560509040474,36
DBCORP,0.010416666666666666,small,0.14492753623188406,0.1061153904808183,89
DHANUKA,0.010416666666666666,small,0.1985981308411215,0.08050227581711877,56
DJML,0.010416666666666666,small,0.13846153846153847,0.06014704390296541,135
DMART,0.010416666666666666,large,0.1544125850719625,0.01698824743493109,40
DRREDDY,0.010416666666666666,large,0.09632665585411826,0.044957262292626594,38
ECLERX,0.010416666666666666,small,0.2979300984051578,0.05029001580617081,73
EICHERMOT,0.010416666666666666,large,0.19320710521178996,0.025558916957434702,29
EIDPARRY,0.010416666666666666,small,0.21854412362749084,0.180449236726885,26
FSL,0.010416666666666666,small,0.16027922255680263,0.056481925790217505,118
GESHIP,0.010416666666666666,small,0.1251592886032467,0.12323135812035603,99
GLENMARK,0.010416666666666666,mid,0.36007563479200433,0.05733278707181545,7
GODREJCP,0.010416666666666666,large,0.1699572324096315,0.032286190707265634,29
GODREJIND,0.010416666666666666,mid,0.02774899985655313,0.021931098885476688,61
GRASIM,0.010416666666666666,large,0.08623005345237125,0.09624156515146814,29
HAVELLS,0.010416666666666666,mid,0.18611111111111112,0.025284223895306324,35
HCLTECH,0.010416666666666666,large,0.2786389649166459,0.06487732524386677,12
HEROMOTOCO,0.010416666666666666,large,0.2770879857079053,0.07133706253444394,12
HEXT,0.010416666666666666,mid,0.2224128073184677,0.04799658494457215,15
HINDALCO,0.010416666666666666,large,0.11049934676009977,0.08755637091212114,26
INDHOTEL,0.010416666666666666,large,0.16306878972874317,0.025195235587084093,34
INDIGO,0.010416666666666666,large,0.014506610009442871,0.005048348199953853,58
INDUSTOWER,0.010416666666666666,mid,0.17560718752056867,0.09192986946616147,17
INFY,0.010416666666666666,large,0.36635041361194964,0.08738344236428605,5
INTERARCH,0.010416666666666666,small,0.18909899888765294,0.05994820331639884,88
ITC,0.010416666666666666,large,0.3416949243051291,0.08693045625664866,7
ITCHOTELS,0.010416666666666666,mid,0.09060688714626662,0.034310706563147574,43
JAMNAAUTO,0.010416666666666666,small,0.28904227782571185,0.06601700377171409,50
JINDALSTEL,0.010416666666666666,mid,0.08887347127562611,0.04795233293933456,37
JSWSTEEL,0.010416666666666666,large,0.09963232896776232,0.04881691282106339,35
KAJARIACER,0.010416666666666666,small,0.21250758955676988,0.036139647050637644,129
KALYANKJIL,0.010416666666666666,mid,0.17213906325446643,0.031855679352641525,34
KAYNES,0.010416666666666666,mid,0.08320084790673025,0.018928596616620132,61
KERNEX,0.010416666666666666,small,0.348780487804878,0.045613090489226515,85
LAURUSLABS,0.010416666666666666,mid,0.1669224865694551,0.012595383328209678,51
LLOYDSME,0.010416666666666666,mid,0.1618527192297684,0.04607979402076278,29
LODHA,0.010416666666666666,large,0.13796220956513877,0.03567831260970158,33
LT,0.010416666666666666,large,0.13223048976306184,0.05111892858852542,30
LTTS,0.010416666666666666,mid,0.22549992908807262,0.04556404178128203,18
LUPIN,0.010416666666666666,mid,0.23341590971648776,0.06838677707945368,9
MANKIND,0.010416666666666666,mid,0.12113037325313993,0.02737060741500576,46
MARICO,0.010416666666666666,mid,0.44598279840570587,0.020651639390451226,29
MAXHEALTH,0.010416666666666666,large,0.1262565905096661,0.01795544346521092,45
MBEL,0.010416666666666666,small,0.17139001349527666,0.07877468880819839,75
NAUKRI,0.010416666666666666,mid,0.027847637011421986,0.025113507107602122,56
NIITMTS,0.010416666666666666,small,0.15905427189682966,0.10463651456458549,73
NYKAA,0.010416666666666666,mid,0.16186915887850467,0.004484279744419483,53
PARADEEP,0.010416666666666666,small,0.13185769596026006,0.07750925210983962,116
PHOENIXLTD,0.010416666666666666,mid,0.13959048553212358,0.0316379047722345,40
PIDILITIND,0.010416666666666666,large,0.27786666666666665,0.019989378534368878,28
PIIND,0.010416666666666666,mid,0.11449062472997494,0.036963067987740364,40
POLYCAB,0.010416666666666666,large,0.29620253164556964,0.02990831646817608,21
PREMIERENE,0.010416666666666666,mid,0.24017467248908297,0.040330854909499766,17
QUESS,0.010416666666666666,small,0.21920991479473276,0.05499261143073423,81
RADICO,0.010416666666666666,mid,0.2278447823807027,0.014531826602735292,39
SAKSOFT,0.010416666666666666,small,0.2116788321167883,0.0872317041077279,45
SENCO,0.010416666666666666,small,0.1730289660464224,0.10388085858662242,58
SHANTIGOLD,0.010416666666666666,small,0.2371007371007371,0.08898745495630123,33
SHARDAMOTR,0.010416666666666666,small,0.26138032305433184,0.08850051476341952,27
SKIPPER,0.010416666666666666,small,0.20437654830718416,0.06404516935436283,77
SUZLON,0.010416666666666666,mid,0.2701866453737898,0.04300167456290728,15
SWARAJENG,0.010416666666666666,small,0.5091649694501018,0.05662166921173671,57
SWSOLAR,0.010416666666666666,small,0.1645844649646931,0.054945534339841486,116
TANLA,0.010416666666666666,small,0.2377016922471468,0.08757076746365329,35
TATACOMM,0.010416666666666666,mid,0.12710244648318042,0.03352144603500544,41
TATACONSUM,0.010416666666666666,large,0.087983094241476,0.021260813115676253,48
TATASTEEL,0.010416666666666666,large,0.11512207658699564,0.07069117870387662,29
TCI,0.010416666666666666,small,0.136158388329281,0.06065457482378019,136
TECHM,0.010416666666666666,large,0.22486007169360417,0.05207754254130798,16
THOMASCOTT,0.010416666666666666,small,0.16304347826086957,0.0694972273659603,99
TIINDIA,0.010416666666666666,mid,0.1898659769574418,0.03125879851950563,31
TITAN,0.010416666666666666,large,0.16257231672567135,0.016012246399670905,42
UPL,0.010416666666666666,mid,0.10011669412410763,0.08413033809202876,30
VBL,0.010416666666666666,large,0.17449178249649114,0.02759852056873543,30
VMM,0.010416666666666666,mid,0.1324327199234124,0.02510535687569717,48
WAAREERTL,0.010416666666666666,small,0.5851851851851851,0.07011026558060585,38
WANBURY,0.010416666666666666,small,0.2815126050420168,0.06350130710933953,57
WIPRO,0.010416666666666666,large,0.1375680915889576,0.10314845426231133,19
ZYDUSLIFE,0.010416666666666666,mid,0.17842355079781863,0.05871687594155854,18
