as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,1,INFY,large,0.36635041361194964,0.08738344236428605,1,4,5
2026-09-07,2,ITC,large,0.3416949243051291,0.08693045625664866,2,5,7
2026-09-07,3,HEROMOTOCO,large,0.2770879857079053,0.07133706253444394,6,6,12
2026-09-07,4,HCLTECH,large,0.2786389649166459,0.06487732524386677,4,8,12
2026-09-07,5,TECHM,large,0.22486007169360417,0.05207754254130798,7,9,16
2026-09-07,6,WIPRO,large,0.1375680915889576,0.10314845426231133,18,1,19
2026-09-07,7,POLYCAB,large,0.29620253164556964,0.02990831646817608,3,18,21
2026-09-07,8,BHARTIARTL,large,0.1852213116419765,0.047858535837216186,10,12,22
2026-09-07,9,BAJAJ-AUTO,large,0.20232350312779268,0.03863007445847826,8,15,23
2026-09-07,10,HINDALCO,large,0.11049934676009977,0.08755637091212114,23,3,26
2026-09-07,11,PIDILITIND,large,0.27786666666666665,0.019989378534368878,5,23,28
2026-09-07,12,GRASIM,large,0.08623005345237125,0.09624156515146814,27,2,29
2026-09-07,13,TATASTEEL,large,0.11512207658699564,0.07069117870387662,22,7,29
2026-09-07,14,GODREJCP,large,0.1699572324096315,0.032286190707265634,12,17,29
2026-09-07,15,EICHERMOT,large,0.19320710521178996,0.025558916957434702,9,20,29
2026-09-07,16,LT,large,0.13223048976306184,0.05111892858852542,20,10,30
2026-09-07,17,VBL,large,0.17449178249649114,0.02759852056873543,11,19,30
2026-09-07,18,CIPLA,large,0.13331050619186213,0.044458293948844756,19,14,33
2026-09-07,19,LODHA,large,0.13796220956513877,0.03567831260970158,17,16,33
2026-09-07,20,INDHOTEL,large,0.16306878972874317,0.025195235587084093,13,21,34
2026-09-07,21,JSWSTEEL,large,0.09963232896776232,0.04881691282106339,24,11,35
2026-09-07,22,DRREDDY,large,0.09632665585411826,0.044957262292626594,25,13,38
2026-09-07,23,DMART,large,0.1544125850719625,0.01698824743493109,15,25,40
2026-09-07,24,BOSCHLTD,large,0.1508954824913125,0.01688173556039337,16,26,42
2026-09-07,25,TITAN,large,0.16257231672567135,0.016012246399670905,14,28,42
2026-09-07,26,MAXHEALTH,large,0.1262565905096661,0.01795544346521092,21,24,45
2026-09-07,27,TATACONSUM,large,0.087983094241476,0.021260813115676253,26,22,48
2026-09-07,28,ADANIENT,large,0.04188816669954731,0.016323369249059447,28,27,55
2026-09-07,29,INDIGO,large,0.014506610009442871,0.005048348199953853,29,29,58
2026-09-07,1,GLENMARK,mid,0.36007563479200433,0.05733278707181545,2,5,7
2026-09-07,2,LUPIN,mid,0.23341590971648776,0.06838677707945368,6,3,9
2026-09-07,3,HEXT,mid,0.2224128073184677,0.04799658494457215,9,6,15
2026-09-07,4,SUZLON,mid,0.2701866453737898,0.04300167456290728,4,11,15
2026-09-07,5,INDUSTOWER,mid,0.17560718752056867,0.09192986946616147,16,1,17
2026-09-07,6,PREMIERENE,mid,0.24017467248908297,0.040330854909499766,5,12,17
2026-09-07,7,ZYDUSLIFE,mid,0.17842355079781863,0.05871687594155854,14,4,18
2026-09-07,8,LTTS,mid,0.22549992908807262,0.04556404178128203,8,10,18
2026-09-07,9,COROMANDEL,mid,0.1918373151308305,0.04682232540771274,11,8,19
