rebalance_date,symbol,weight,cap_bucket,sector,roce,ey,rank_roce,rank_ey,combined_rank,position_in_bucket,anomaly_flagged
2019-06-01,ABBOTINDIA,0.011111111111111112,mid,Healthcare,0.2926829268292683,0.03996789022657351,9,47,56,23,False
2019-06-01,ALKYLAMINE,0.011111111111111112,small,Chemicals,0.2655367231638418,0.17427748768887513,33,115,148,33,False
2019-06-01,ALPHAGEO,0.011111111111111112,small,"Oil, Gas & Consumable Fuels",0.23102310231023102,0.2549588089309857,64,63,127,27,False
2019-06-01,AMBUJACEM,0.011111111111111112,large,Construction Materials,0.12748772869254796,0.07046449388487618,33,25,58,34,False
2019-06-01,APARINDS,0.011111111111111112,mid,Capital Goods,0.29120879120879123,0.17698797670544525,10,10,20,3,False
2019-06-01,APLAPOLLO,0.011111111111111112,mid,Capital Goods,0.1805708013172338,0.2773324164639234,31,6,37,10,False
2019-06-01,ASIANPAINT,0.011111111111111112,large,Consumer Durables,0.29128822984244673,0.025121958592576852,6,46,52,26,False
2019-06-01,AUROPHARMA,0.011111111111111112,mid,Healthcare,0.15745313324063864,0.07389229478119969,36,25,61,30,False
2019-06-01,BAJAJ-AUTO,0.011111111111111112,large,Automobile and Auto Components,0.21114821474441306,0.10303858693982092,19,20,39,14,False
2019-06-01,BALAXI,0.011111111111111112,small,Healthcare,0.6666666666666666,0.4079410516216858,5,29,34,4,True
2019-06-01,BALKRISIND,0.011111111111111112,mid,Automobile and Auto Components,0.17610859728506786,0.07064247528911928,33,26,59,26,False
2019-06-01,BBTC,0.011111111111111112,small,Fast Moving Consumer Goods,0.28122091941187416,0.26818231785550434,27,57,84,16,False
2019-06-01,BDL,0.011111111111111112,mid,Capital Goods,0.2380114386273647,0.21781068662729158,18,9,27,5,True
2019-06-01,BEL,0.011111111111111112,large,Capital Goods,0.2780661907852044,0.3676061006805568,11,3,14,3,False
2019-06-01,BHARATFORG,0.011111111111111112,mid,Automobile and Auto Components,0.1623604465709729,0.06602824524364699,35,30,65,31,False
2019-06-01,BHARATRAS,0.011111111111111112,small,Chemicals,0.2606707317073171,0.24135867321545015,39,68,107,19,False
2019-06-01,BLS,0.011111111111111112,small,Consumer Services,0.22493887530562348,0.28842056054498644,70,48,118,23,False
2019-06-01,BLUESTARCO,0.011111111111111112,mid,Consumer Durables,0.22358722358722358,0.06919613100708241,22,28,50,21,False
