rebalance_date,symbol,cap_bucket,sector,reason
2019-06-01,20MICRONS,small,Metals & Mining,ranked
2019-06-01,3MINDIA,mid,Diversified,ranked
2019-06-01,63MOONS,small,Information Technology,no_shares
2019-06-01,A2ZINFRA,small,Construction,ranked
2019-06-01,AARTIDRUGS,small,Healthcare,ranked
2019-06-01,AARTIIND,small,Chemicals,ranked
2019-06-01,ABB,large,Capital Goods,ranked
2019-06-01,ABBOTINDIA,mid,Healthcare,ranked
2019-06-01,ABFRL,small,Consumer Services,ranked
2019-06-01,ABREL,small,Realty,no_shares
2019-06-01,ACC,small,Construction Materials,ranked
2019-06-01,ACE,small,Capital Goods,ranked
2019-06-01,ADANIENT,large,Metals & Mining,ranked
2019-06-01,ADANIPORTS,large,Services,ranked
2019-06-01,ADFFOODS,small,Fast Moving Consumer Goods,ranked
2019-06-01,ADOR,small,Capital Goods,no_shares
2019-06-01,ADROITINFO,small,Information Technology,ranked
2019-06-01,ADSL,small,Information Technology,ranked
2019-06-01,ADVANIHOTR,small,Consumer Services,ranked
2019-06-01,ADVENZYMES,small,Healthcare,ranked
2019-06-01,AEGISLOG,small,"Oil, Gas & Consumable Fuels",no_shares
2019-06-01,AGARIND,small,Chemicals,ranked
2019-06-01,AGI,small,Capital Goods,no_shares
2019-06-01,AGRITECH,small,Fast Moving Consumer Goods,no_shares
2019-06-01,AGROPHOS,small,Chemicals,ranked
2019-06-01,AHLEAST,small,Consumer Services,ranked
2019-06-01,AHLUCONT,small,Construction,ranked
2019-06-01,AHLWEST,small,Consumer Services,ranked
2019-06-01,AIAENG,small,Capital Goods,ranked
2019-06-01,AJANTPHARM,small,Healthcare,ranked
2019-06-01,AKSHOPTFBR,small,Telecommunication,ranked
2019-06-01,ALANKIT,small,Services,ranked
2019-06-01,ALBERTDAVD,small,Healthcare,no_shares
2019-06-01,ALEMBICLTD,small,Realty,ranked
2019-06-01,ALICON,small,Automobile and Auto Components,ranked
2019-06-01,ALKALI,small,Chemicals,ranked
2019-06-01,ALKEM,mid,Healthcare,ranked
2019-06-01,ALKYLAMINE,small,Chemicals,ranked
2019-06-01,ALLCARGO,small,Services,ranked
2019-06-01,ALLDIGI,small,Services,no_shares
2019-06-01,ALPA,small,Healthcare,ranked
2019-06-01,ALPHAGEO,small,"Oil, Gas & Consumable Fuels",ranked
