symbol,listing_date
20MICRONS,2008-10-06
21STCENMGM,1995-05-03
360ONE,2019-09-19
3BBLACKBIO,2026-04-20
3IINFOLTD,2021-10-22
3MINDIA,2004-08-13
3PLAND,1995-07-19
5PAISA,2017-11-16
63MOONS,2005-06-20
A2ZINFRA,2010-12-23
AAATECH,2022-11-28
AADHARHFC,2024-05-15
AAKASH,2020-09-29
AAREYDRUGS,2021-08-06
AARNAV,2026-02-25
AARON,2020-11-06
AARTECH,2023-07-10
AARTIDRUGS,2003-09-19
AARTIIND,1995-02-08
AARTIPHARM,2023-01-30
AARTISURF,2020-07-14
AARVI,2020-06-24
AASTHA,2026-07-06
AAVAS,2018-10-08
ABAN,1995-03-29
ABANSENT,2026-04-20
ABB,1995-02-08
ABBOTINDIA,2010-01-08
ABCAPITAL,2017-09-01
ABCOTS,2025-09-24
ABDL,2024-07-02
ABFRL,2013-07-17
ABINFRA,2024-11-08
ABLBL,2025-06-23
ABMINTLLTD,2021-09-09
ABMKNO,2026-04-20
ABREL,2003-06-27
ABSLAMC,2021-10-11
ACC,1996-11-20
ACCELYA,1999-12-01
ACCURACY,2020-12-11
ACE,2006-09-26
ACEINTEG,2022-11-04
ACGL,2026-08-17
ACI,2022-11-21
ACL,2023-05-10
ACMESOLAR,2024-11-13
ACSTECH,2026-04-20
ACUTAAS,2021-09-14
ADANIENSOL,2015-07-31
ADANIENT,1997-06-04
ADANIGREEN,2018-06-18
ADANIPORTS,2007-11-27
ADANIPOWER,2009-08-20
ADDIND,2026-08-17
ADFFOODS,2010-09-15
ADL,2020-10-01
ADOR,1995-05-10
ADROITINFO,1997-08-13
ADSL,2007-07-25
ADVAIT,2026-01-20
ADVANCE,2025-10-08
ADVANIHOTR,2007-06-25
ADVENTHTL,2025-11-13
ADVENZYMES,2016-08-01
ADVIKCA,2026-08-17
AEGISLOG,1996-04-03
AEGISVOPAK,2025-06-02
AEPL,2026-03-12
AEQUS,2025-12-10
AEROENTER,2022-11-21
AEROFLEX,2023-08-31
AERONEU,2023-01-12
AEROPLANE,2026-04-02
AETHER,2022-06-03
AFCONS,2024-11-04
AFFLE,2019-08-08
AFFORDABLE,2024-10-23
AFIL,2024-06-26
AFSL,2022-12-23
AGARIND,2014-05-26
AGARWALEYE,2025-02-04
AGI,2000-05-31
AGIIL,2024-07-15
AGL,2026-07-03
AGRITECH,2014-01-28
AGROPHOS,2019-03-08
AGSTRA,2022-01-31
AHCL,2025-09-03
AHLADA,2021-01-28
AHLEAST,2010-08-11
AHLUCONT,2009-12-14
AHLWEST,2010-08-05
AIAENG,2005-12-14
AIIL,2024-04-23
AIRAN,2019-05-03
AIROLAM,2021-10-13
AJANTPHARM,2000-05-29
AJAXENGG,2025-02-17
AJMERA,2009-06-16
AJOONI,2021-05-07
AKASH,2019-10-11
AKCAPIT,2026-04-20
AKG,2021-02-16
AKI,2023-04-06
AKSHAR,2022-05-23
AKSHARCHEM,2017-03-28
