isin,name,nse_symbol,bse_symbol,cap_bucket,date_of_listing,excluded,exclusion_reason
INE144J01027,20 Microns Limited,20MICRONS,20MICRONS,small,2008-10-06,False,
INE253B01015,21st Century Management Services Limited,21STCENMGM,21STCENMGM,small,1995-05-03,False,
INE466L01038,360 ONE WAM LIMITED,360ONE,360ONE,mid,2019-09-19,False,
INE994E01018,3B Blackbio Dx Limited,3BBLACKBIO,3BBLACKBIO,small,2026-04-20,True,"listed 140 days ago, below the 365-day minimum"
INE748C01038,3i Infotech Limited,3IINFOLTD,3IINFOLTD,small,2021-10-22,False,
INE470A01017,3M India Limited,3MINDIA,3MINDIA,mid,2004-08-13,False,
INE105C01023,3P Land Holdings Limited,3PLAND,3PLAND,small,1995-07-19,False,
INE618L01018,5Paisa Capital Limited,5PAISA,5PAISA,small,2017-11-16,True,name matches Financial Services heuristic (unverified)
INE111B01023,63 moons technologies limited,63MOONS,63MOONS,small,2005-06-20,False,
INE619I01012,A2Z Infra Engineering Limited,A2ZINFRA,A2ZINFRA,small,2010-12-23,False,
INE0D0U01013,AAA Technologies Limited,AAATECH,AAATECH,small,2022-11-28,False,
INE883F01010,Aadhar Housing Finance Limited,AADHARHFC,AADHARHFC,small,2024-05-15,True,name matches Financial Services heuristic (unverified)
INE087Z01024,Aakash Exploration Services Limited,AAKASH,,small,2020-09-29,False,
INE198H01019,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,AAREYDRUGS,small,2021-08-06,False,
INE750R01016,Aarnav Fashions Limited,AARNAV,AARNAV,small,2026-02-25,True,"listed 194 days ago, below the 365-day minimum"
INE721Z01010,Aaron Industries Limited,AARON,,small,2020-11-06,False,
INE01C001026,Aartech Solonics Limited,AARTECH,AARTECH,small,2023-07-10,False,
INE767A01016,Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS,small,2003-09-19,False,
INE769A01020,Aarti Industries Limited,AARTIIND,AARTIIND,small,1995-02-08,False,
INE0LRU01027,Aarti Pharmalabs Limited,AARTIPHARM,AARTIPHARM,small,2023-01-30,False,
INE09EO01013,Aarti Surfactants Limited,AARTISURF,AARTISURF,small,2020-07-14,False,
INE754X01016,Aarvi Encon Limited,AARVI,AARVI,small,2020-06-24,False,
INE2FMX01012,Aastha Spintex Limited,AASTHA,AASTHA,,2026-07-06,True,"listed 63 days ago, below the 365-day minimum"
INE216P01012,Aavas Financiers Limited,AAVAS,AAVAS,small,2018-10-08,False,
INE421A01028,Aban Offshore Limited,ABAN,ABAN,small,1995-03-29,False,
INE365O01028,Abans Enterprises Limited,ABANSENT,ABANSENT,small,2026-04-20,True,"listed 140 days ago, below the 365-day minimum"
INE117A01022,ABB India Limited,ABB,ABB,large,1995-02-08,False,
INE358A01014,Abbott India Limited,ABBOTINDIA,ABBOTINDIA,mid,2010-01-08,False,
INE674K01013,Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL,mid,2017-09-01,True,name matches Financial Services heuristic (unverified)
INE08PH01015,A B Cotspin India Limited,ABCOTS,ABCOTS,small,2025-09-24,True,"listed 348 days ago, below the 365-day minimum"
INE552Z01027,Allied Blenders and Distillers Limited,ABDL,ABDL,small,2024-07-02,False,
INE647O01011,Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL,small,2013-07-17,False,
INE00YB01025,A B Infrabuild Limited,ABINFRA,ABINFRA,small,2024-11-08,False,
INE14LE01019,Aditya Birla Lifestyle Brands Limited,ABLBL,ABLBL,small,2025-06-23,False,
INE251C01025,ABM International Limited,ABMINTLLTD,,small,2021-09-09,False,
INE850B01026,ABM Knowledgeware Limited,ABMKNO,ABMKNO,small,2026-04-20,True,"listed 140 days ago, below the 365-day minimum"
INE055A01016,Aditya Birla Real Estate Limited,ABREL,ABREL,small,2003-06-27,False,
INE404A01024,Aditya Birla Sun Life AMC Limited,ABSLAMC,ABSLAMC,small,2021-10-11,False,
INE012A01025,ACC Limited,ACC,ACC,small,1996-11-20,False,
INE793A01012,Accelya Solutions India Limited,ACCELYA,ACCELYA,small,1999-12-01,False,
INE648Z01023,Accuracy Shipping Limited,ACCURACY,ACCURACY,small,2020-12-11,False,
INE731H01025,Action Construction Equipment Limited,ACE,ACE,small,2006-09-26,False,
